lo	hi	CD38	day	lo_1	hi_1
1024	0	-	0	1848	232
1024	0	-	0	1730	108
1024	0	-	0	1618	83
1024	0	-	0	1848	232
1024	0	-	0	1730	108
1024	0	-	0	1618	83
1024	0	-	0	1848	232
1024	0	-	0	1730	108
1024	0	-	0	1618	83
8	1002	+	0	356	1408
8	1002	+	0	340	1073
8	1002	+	0	380	1220
8	1002	+	0	356	1408
8	1002	+	0	340	1073
8	1002	+	0	380	1220
8	1002	+	0	356	1408
8	1002	+	0	340	1073
8	1002	+	0	380	1220
1848	232	-	3	3508	347
1848	232	-	3	3645	219
1848	232	-	3	4043	237
1730	108	-	3	3508	347
1730	108	-	3	3645	219
1730	108	-	3	4043	237
1618	83	-	3	3508	347
1618	83	-	3	3645	219
1618	83	-	3	4043	237
356	1408	+	3	1723	1294
356	1408	+	3	1296	1019
356	1408	+	3	966	1234
340	1073	+	3	1723	1294
340	1073	+	3	1296	1019
340	1073	+	3	966	1234
380	1220	+	3	1723	1294
380	1220	+	3	1296	1019
380	1220	+	3	966	1234
