lo	hi	CD38	day	lo_1	hi_1
972	0	-	0	1607	1561
972	0	-	0	1145	1362
972	0	-	0	1813	985
972	0	-	0	1607	1561
972	0	-	0	1145	1362
972	0	-	0	1813	985
972	0	-	0	1607	1561
972	0	-	0	1145	1362
972	0	-	0	1813	985
0	996	+	0	21	1431
0	996	+	0	23	995
0	996	+	0	22	922
0	996	+	0	21	1431
0	996	+	0	23	995
0	996	+	0	22	922
0	996	+	0	21	1431
0	996	+	0	23	995
0	996	+	0	22	922
1607	1561	-	3	638	3208
1607	1561	-	3	1077	3477
1145	1362	-	3	638	3208
1145	1362	-	3	1077	3477
1813	985	-	3	638	3208
1813	985	-	3	1077	3477
21	1431	+	3	193	1159
21	1431	+	3	219	1014
21	1431	+	3	197	994
23	995	+	3	193	1159
23	995	+	3	219	1014
23	995	+	3	197	994
22	922	+	3	193	1159
22	922	+	3	219	1014
22	922	+	3	197	994
